fundSlug,loadMs,httpStatus,jsErrors,componentsRendered,componentsMissing,missingComponents,apiMs,apiHttpStatus
icici-pru-ultra-short-term-fund-idcw-q-payout-growth,198,200,0,6,0,,,
axis-short-duration-fund-retail-idcw-m-payout-growth,185,200,0,6,0,,,
icici-pru-bharat-consumption-fund-reg-g-growth,199,200,0,6,0,,,
icici-pru-nifty-bank-index-fund-idcw-reinvestment-growth,204,200,0,6,0,,,
icici-pru-india-equity-fof-g-growth,191,200,0,6,0,,,
axis-esg-integration-strategy-fund-g-growth,205,200,0,6,0,,,
edelweiss-focused-fund-g-growth,193,200,0,6,0,,,
edelweiss-equity-savings-fund-idcw-m-payout-growth,195,200,0,6,0,,,
sbi-magnum-low-duration-fund-idcw-f-payout-growth,196,200,0,6,0,,,
hdfc-floating-rate-debt-fund-idcw-w-reinvestment-growth,197,200,0,6,0,,,
sundaram-focused-fund-idcw-h-payout-growth,193,200,0,6,0,,,
kotak-nifty-sdl-plus-aaa-psu-bond-jul-2028-60-40-index-fund-reg-g-growth,192,200,0,6,0,,,
motilal-oswal-arbitrage-fund-regular-idcw-reinvestment-growth,197,200,0,6,0,,,
shriram-overnight-fund-idcw-f-payout-growth,193,200,0,6,0,,,
taurus-nifty-50-index-fund-idcw-payout-growth,192,200,0,6,0,,,
groww-money-market-fund-regular-idcw-payout-growth,194,200,0,6,0,,,
hdfc-credit-risk-debt-fund-idcw-q-payout-growth,194,200,0,6,0,,,
axis-retirement-fund-ap-regular-g-growth,191,200,0,6,0,,,
mahindra-manulife-consumption-fund-g-growth,193,200,0,6,0,,,
edelweiss-low-duration-fund-regular-idcw-payout-growth,193,200,0,6,0,,,
canara-robeco-multi-cap-fund-regular-idcw-payout-growth,188,200,0,6,0,,,
dsp-large-cap-fund-regular-idcw-payout-growth,213,200,0,6,0,,,
sbi-equity-savings-fund-idcw-q-payout-growth,195,200,0,6,0,,,
uti-banking-psu-fund-idcw-q-reinvestment-growth,194,200,0,6,0,,,
nippon-india-elss-tax-saver-fund-idcw-reinvestment-growth,193,200,0,6,0,,,
